date,time,platform,song,artist,album,concert/festival,spotify_id,spotify_preview_url
9/15/17,14:30,youtube,my favorite room,blossoms,blossoms,"live at castlefield bowl, newcastle, 7/8/17",spotify:track:1jYG9X6Ph6xdaQ7OHObWm4,https://p.scdn.co/mp3-preview/b8a2b7cff4bb1f31b93c4e6169788f3361de2ae0?cid=774b29d4f13844c495f206cafdad9c86
9/15/17,16:00,youtube,how long will this last?,blossoms,cool like you,n/a,spotify:track:0TeRQdoBuzG0S21QM5tHaX,https://p.scdn.co/mp3-preview/6be525acb0c29578d44045735b1c8b8640fafa9a?cid=774b29d4f13844c495f206cafdad9c86
9/15/17,17:30,youtube,sincerity is scary,the 1975 ,a brief inquiry into online relationships ,n/a,spotify:track:06Vthiq8nNDuT5nOcch535,https://p.scdn.co/mp3-preview/3c0263ced53fb552b49c955091b8584ff4187205?cid=774b29d4f13844c495f206cafdad9c86
9/15/17,19:00,youtube,bad habit,the kooks,listen,"live at hansa studios, berlin, 7/10/14",spotify:track:3huV7eiNpaQlCB3LbZi9bB,https://p.scdn.co/mp3-preview/0a7b8189e442644d92cc245d81e5279ad40670f6?cid=774b29d4f13844c495f206cafdad9c86
9/15/17,20:30,youtube,homesick,catfish and the bottlemen,the balcony,"live at lollapalooza, sao paulo brazil, 3/26/17",spotify:track:7lnXzMcgaK7CnzaQ7wj6k0,https://p.scdn.co/mp3-preview/4a8975ef309c4d7eeda9422f4ad8166c8934b939?cid=774b29d4f13844c495f206cafdad9c86
9/15/17,22:00,youtube,outside,catfish and the bottlemen,the ride,"live at trnsmt festival, glasgow, 7/8/17",spotify:track:1DOHxFeHLy4k8BQ2IFnLFn,https://p.scdn.co/mp3-preview/0d563d17c03fbb600f85a173976c0849d8a651bd?cid=774b29d4f13844c495f206cafdad9c86
9/16/17,8:30,n/a,n/a,n/a,n/a,n/a,,
9/16/17,10:00 ,n/a,n/a,n/a,n/a,n/a,,
9/16/17,11:30 ,n/a,n/a,n/a,n/a,n/a,,
9/16/17,13:00 ,n/a,n/a,n/a,n/a,n/a,,
9/16/17,14:30,youtube,hourglass,catfish and the bottlemen,the balcony,"live at the fonda, los angeles, 9/29/15",spotify:track:4hEhOvEz9tulJQXZ7hiqkz,https://p.scdn.co/mp3-preview/2aa221cce964bcb465e3b2dc62bab607cddeee67?cid=774b29d4f13844c495f206cafdad9c86
9/16/17,16:00,youtube,under cover of darkness,the strokes,angles,n/a,spotify:track:6u0x5ad9ewHvs3z6u9Oe3c,https://p.scdn.co/mp3-preview/93b2162121b87bfac75dd5f4ac6dcf14fd07abe2?cid=774b29d4f13844c495f206cafdad9c86
9/16/17,17:30,youtube,four leaf clover,the kooks,let's go sunshine,n/a,spotify:track:7aq4RmtNftNpqUaeoZb5ao,https://p.scdn.co/mp3-preview/fb088aad60676a8996afab5bbc73cd1baaa5e2b9?cid=774b29d4f13844c495f206cafdad9c86
9/16/17,19:00,youtube,love it if we made it,the 1975,a brief inquiry into online relationships ,n/a,spotify:track:0ORgAzmFh8N97SseJvmqgC,https://p.scdn.co/mp3-preview/ce5f20b0ea28da5862561e96bbfd5ee432c45aa5?cid=774b29d4f13844c495f206cafdad9c86
9/16/17,20:30,youtube,not nineteen forever,courteneers,st. jude,"live at trnsmt festival, glasgow, 6/30/18",spotify:track:1bSkRvS1uWHI1QL0aJbvyC,https://p.scdn.co/mp3-preview/af120afd5861c051155b9e26bfa49b8c8d9feae9?cid=774b29d4f13844c495f206cafdad9c86
9/16/17,22:00,youtube,anything,catfish and the bottlemen,the ride,"live at t in the park, glasgow, 7/9/16",spotify:track:1JblvWxcwHXMLth0c6ssFy,https://p.scdn.co/mp3-preview/fde70a3e1dad1fd2c6ac12bc34debddb4e5bd30c?cid=774b29d4f13844c495f206cafdad9c86
,,,,,,,,
9/24/17,8:30,youtube,business (acoustic),catfish and the bottlemen,the balcony,n/a,spotify:track:4WcS64YPVtL5pvUwxqdnKV,https://p.scdn.co/mp3-preview/6dc56d278eb58774dd86f2d5c8c9db230507818e?cid=774b29d4f13844c495f206cafdad9c86
9/24/17,10:00 ,youtube,at most a kiss,blossoms,blossoms,"live at glastonbury,",spotify:track:4n5M8BJ7gekZI4lDbAQjKU,https://p.scdn.co/mp3-preview/190a610c0ce5ca0bcb7638a35f9637cc0fa5d112?cid=774b29d4f13844c495f206cafdad9c86
9/24/17,11:30 ,youtube,blow,blossoms,blossoms,"live at bbc radio 1's big weekend, exeter, ",spotify:track:3yT0qjYhavPCp0rdgHYgdA,https://p.scdn.co/mp3-preview/b4881d7029c3008e1947b4b8eeb242a88de4fc0e?cid=774b29d4f13844c495f206cafdad9c86
9/24/17,13:00 ,spotify ,kathleen,catfish and the bottlemen,the balcony,n/a,spotify:track:1MHYAqWWdDRePmnqORynrq,https://p.scdn.co/mp3-preview/217a54aaca81e9ef43740d8d4dd963a160a93a7d?cid=774b29d4f13844c495f206cafdad9c86
9/24/17,14:30,n/a,n/a,n/a,n/a,n/a,,
9/24/17,16:00,n/a,n/a,n/a,n/a,n/a,,
9/24/17,17:30,spotify ,when we were younger,you me at six,the final night of sin,"the final night of sin, wembley, 12/6/12",spotify:track:6dkG91zqgrLtfGi71voMlk,https://p.scdn.co/mp3-preview/735c8a8352cd388668fd666e167126820b643d86?cid=774b29d4f13844c495f206cafdad9c86
9/24/17,19:00,spotify ,7,catfish and the bottlemen,the ride,n/a,spotify:track:5ykbOijJEfRhuo2Td1m0Qd,https://p.scdn.co/mp3-preview/b4ee2d2926362ef45c9619943af53df6e44a7fbd?cid=774b29d4f13844c495f206cafdad9c86
9/24/17,20:30,n/a,n/a,n/a,n/a,n/a,,
9/24/17,22:00,n/a,n/a,n/a,n/a,n/a,,
