date,time,platform,song,artist,album,concert/festival,spotify_id,spotify_preview_url
9/8/17,20:30,spotify,boyfriend,coin,how will you know if you never try,n/a,spotify:track:15jIpgBlSbxsPVsKPNYkNp,https://p.scdn.co/mp3-preview/f8258cf9eed2af7cda7d3761e0c0646292c6a56a?cid=774b29d4f13844c495f206cafdad9c86
9/8/17,22:00,spotify,say amen (saturday night),panic! at the disco,pray for the wicked,n/a,spotify:track:76vMKwFtdDDCLcM6zXybjB,https://p.scdn.co/mp3-preview/9ac903f206067e3d1e4d730530ec261463039542?cid=774b29d4f13844c495f206cafdad9c86
9/9/17,8:30,n/a,n/a,n/a,n/a,n/a,,
9/9/17,10:00 ,n/a,n/a,n/a,n/a,n/a,,
9/9/17,11:30 ,n/a,n/a,n/a,n/a,n/a,,
9/9/17,13:00 ,n/a,n/a,n/a,n/a,n/a,,
9/9/17,14:30,youtube,read my mind (acoustic cover),catfish and the bottlemen,triple j like a version,"live on triple j, like a version, 1/22/15",spotify:track:7bMTlhKbtabS9T4R4SjBww,https://p.scdn.co/mp3-preview/5997a7485db38089bdf6d00f8dd9809c0f79b2a9?cid=774b29d4f13844c495f206cafdad9c86
9/9/17,16:00,youtube,the tide,pale waves,all the things i never said ep,n/a,spotify:track:0YFSIKEP8tTV8AkEDVVAUW,https://p.scdn.co/mp3-preview/1b9ca14b9bc9548af12206c4840e11a20dfa8226?cid=774b29d4f13844c495f206cafdad9c86
9/9/17,17:30,youtube,fluctuate,catfish and the bottlemen,n/a,"live at this is tomorrow, glasgow, 5/25/18",,
9/9/17,19:00,youtube,there's a reason why (i never returned your calls),blossoms,cool like you,"live at transmt, glasgow, 7/1/18",spotify:track:5pVbLYTdihSKd8Kylfhwa7,https://p.scdn.co/mp3-preview/8a2b3e51cb5c39dccf4e9d4b1da81e3f957973a3?cid=774b29d4f13844c495f206cafdad9c86
9/9/17,20:30,youtube,naive,the kooks,inside in/inside out,n/a,spotify:track:2RUhtNBh43RtSg0WBPPq3m,https://p.scdn.co/mp3-preview/71d6befc2d45a2a6ff58704d0e849b6b45b84a22?cid=774b29d4f13844c495f206cafdad9c86
9/9/17,22:00,youtube,505 ft. miles kane,arctic monkeys,favourite worst nightmare,"live at transmt festival, glasgow, 7/1/18",spotify:track:58ge6dfP91o9oXMzq3XkIS,https://p.scdn.co/mp3-preview/971776090b85e536f69e19a80598bdaa29d14a88?cid=774b29d4f13844c495f206cafdad9c86
9/10/17,8:30,spotfiy,glasgow,catfish and the bottlemen,the ride,n/a,spotify:track:28VT0090inPlN6bfxoVdmB,https://p.scdn.co/mp3-preview/35fa7d6e9a717f37a1093bee6c289528ae6b51e8?cid=774b29d4f13844c495f206cafdad9c86
9/10/17,10:00 ,youtube,how long will this last?,blossoms,cool like you,n/a,spotify:track:0TeRQdoBuzG0S21QM5tHaX,https://p.scdn.co/mp3-preview/6be525acb0c29578d44045735b1c8b8640fafa9a?cid=774b29d4f13844c495f206cafdad9c86
9/10/17,11:30 ,youtube,all the time,the kooks,let's go sunshine,n/a,spotify:track:6posofjYcYrpdOwtO9mmtc,https://p.scdn.co/mp3-preview/ee9a480d78265e32941d550538a6168f7a6f1d43?cid=774b29d4f13844c495f206cafdad9c86
9/10/17,13:00 ,n/a,n/a,n/a,n/a,n/a,,
9/10/17,14:30,n/a,n/a,n/a,n/a,n/a,,
9/10/17,16:00,youtube,forgive & forget,the kooks,listen,n/a,spotify:track:4wbYZaPodjihmyO8yvie6t,https://p.scdn.co/mp3-preview/f113a4765c60ab89a2bf2a3e05616a28f27c81ab?cid=774b29d4f13844c495f206cafdad9c86
9/10/17,17:30,youtube,say amen (saturday night),panic! at the disco,pray for the wicked,"live on tonight show with jimmy fallon, 3/21/18",spotify:track:76vMKwFtdDDCLcM6zXybjB,https://p.scdn.co/mp3-preview/9ac903f206067e3d1e4d730530ec261463039542?cid=774b29d4f13844c495f206cafdad9c86
9/10/17,19:00,youtube,the kids don't wanna go home,declan mckenna,what do you think about the car?,n/a,spotify:track:6lj0jgxdeE6wFqddzYY0Sd,https://p.scdn.co/mp3-preview/1799cf995c741bbf11d5fb2859d4d199264ed80f?cid=774b29d4f13844c495f206cafdad9c86
9/10/17,20:30,n/a,n/a,n/a,n/a,n/a,,
9/10/17,22:00,youtube,honey,swim deep,where the heaven are we,n/a,spotify:track:0XN5vm980boRCELIwD2CIe,https://p.scdn.co/mp3-preview/97303c9224cc5b7eb8f7724c4205241427e3788a?cid=774b29d4f13844c495f206cafdad9c86
9/11/17,8:30,spotify,dakota,stereophonics,language. sex. violence. other?,n/a,spotify:track:3qaSqrrevBrb84xl5JlptU,https://p.scdn.co/mp3-preview/0ebc9115999cd596243ba78ce3c7a0c7857a1be5?cid=774b29d4f13844c495f206cafdad9c86
9/11/17,10:00 ,n/a,n/a,n/a,n/a,n/a,,
9/11/17,11:30 ,n/a,n/a,n/a,n/a,n/a,,
9/11/17,13:00 ,n/a,n/a,n/a,n/a,n/a,,
9/11/17,14:30,n/a,n/a,n/a,n/a,n/a,,
9/11/17,16:00,youtube,c'est la vie,stereophonics,keep the village alive,n/a,spotify:track:5Ij6EPHeYsh6WQA2Bdt7Ky,https://p.scdn.co/mp3-preview/6071b2970465d0aa7865aeee4f84095e3f2be9c0?cid=774b29d4f13844c495f206cafdad9c86
9/11/17,17:30,youtube,charlemagne,blossoms,blossoms,n/a,spotify:track:7H5WVBQdSnJ1zmu8JoD6pg,https://p.scdn.co/mp3-preview/f7eb47055da327557d4fcae81b09557c2029dff8?cid=774b29d4f13844c495f206cafdad9c86
9/11/17,19:00,spotify,twice,catfish and the bottlemen,the ride,n/a,spotify:track:2sewj0rFvlr3aEM3bGy12n,https://p.scdn.co/mp3-preview/1d0c66814eb8ccc1a59fa1b4f4757aad50d397e2?cid=774b29d4f13844c495f206cafdad9c86
9/11/17,20:30,n/a,n/a,n/a,n/a,n/a,,
9/11/17,22:00,n/a,n/a,n/a,n/a,n/a,,
